                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5203,                 2.9947,                 1.3367,                0.55813,                0.36328,                0.37334,                  0.192,                 1.6802,                 2.9958,                 1.8872,             0.00055075,             0.00055075,             0.00055075
                      2,                 1.4229,                 2.2329,                 1.2897,                0.62898,                0.66913,                0.71975,                0.44679,                 1.3107,                 2.2512,                 1.4406,              0.0007413,              0.0007413,              0.0007413
                      3,                 1.3236,                 1.8247,                 1.2436,                0.82729,                0.66837,                0.74689,                0.47405,                 1.2324,                 1.5854,                 1.3447,             0.00056511,             0.00056511,             0.00056511
