                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3819,                 3.3766,                 2.4882,                0.00219,                0.61905,                0.00241,                0.00079,                 3.0614,                  14.08,                 3.2874,             0.00066645,             0.00066645,             0.00066645
                      2,                 2.3915,                 3.4449,                 2.5585,                0.00938,                0.46349,                0.01154,                0.00292,                 2.8867,                 3.7791,                 3.1516,             0.00089319,             0.00089319,             0.00089319
                      3,                 2.2223,                 3.2923,                 2.4657,                0.26046,                0.13333,                0.11588,                0.04641,                  2.612,                 3.1197,                 2.9275,             0.00067993,             0.00067993,             0.00067993
